"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Robin Lopez","2011","C","PHX","$2,304,046","$0","$2,862,602","0.049","$2,304,046","$2,024,791","4","$8,099,162","$7,540,606","2012","2009","20",""
"","Jordan Hill","2011","C","LAC","$2,298,539","$0","$2,855,760","0.049","$2,298,539","$2,669,520","3","$8,008,560","$7,451,339","2012","2009","21",""
"","Marreese Speights","2011","PF","MEM","$2,190,278","$0","$2,721,254","0.047","$2,190,278","$1,924,024","4","$7,696,094","$7,165,118","2012","2008","20",""
"","Dahntay Jones","2011","SF","IND","$2,173,171","$0","$2,700,000","0.047","$2,173,171","$2,650,000","4","$10,600,000","$14,042,985","2013","2009","28",""
"","Ekpe Udoh","2011","C","GSW","$2,652,041","$0","$2,652,041","0.046","$2,652,041","$3,588,607","4","$14,354,428","$5,717,081","2014","2010","22",""
"","Roy Hibbert","2011","C","IND","$2,083,499","$0","$2,588,590","0.045","$2,083,499","$1,828,668","4","$7,314,670","$6,809,539","2012","2008","21",""
"","Ersan Ilyasova","2011","PF","MIL","$2,045,195","$0","$2,541,000","0.044","$2,045,195","$2,320,500","3","$6,961,500","$7,528,666","2012","2009","21",""
"","Gordon Hayward","2011","SF","UTA","$2,038,724","$0","$2,532,960","0.044","$2,038,724","$2,762,796","4","$11,051,183","$4,395,044","2014","2010","19",""
"","Brandon Jennings","2011","PG","MIL","$2,007,140","$0","$2,493,720","0.043","$2,007,140","$2,543,213","4","$10,172,853","$6,506,780","2013","2010","20",""
"","JaVale McGee","2011","C","DEN","$1,981,931","$0","$2,462,399","0.042","$1,981,931","$1,738,080","4","$6,952,320","$6,471,851","2012","2008","19",""
"","Quentin Richardson","2011","PF","ORL","$1,968,893","$0","$2,446,200","0.042","$1,968,893","$2,355,600","2","$4,711,200","$4,233,893","2012","2010","29",""
"","Paul George","2011","SG","IND","$1,936,730","$0","$2,406,240","0.041","$1,936,730","$2,625,256","4","$10,501,023","$4,175,390","2014","2010","19",""
"","Louis Amundson","2011","PF","IND","$1,934,122","$0","$2,403,000","0.041","$1,934,122","$2,314,000","2","$4,628,000","$6,715,276","2012","2010","27",""
"","J.J Hickson","2011","PF","POR","$1,895,114","$0","$2,354,536","0.041","$1,895,114","$1,660,534","4","$6,642,137","$6,182,714","2012","2008","19",""
"","Cole Aldrich","2011","C","OKC","$1,839,951","$0","$2,286,000","0.039","$1,839,951","$2,286,000","3","$6,858,000","$3,966,471","2013","2010","21",""
"","Ben Wallace","2011","C","DET","$2,246,400","$0","$2,246,400","0.039","$2,246,400","$2,160,000","2","$4,320,000","$87,800,795","2012","2010","2,009",""
"","Ryan Anderson","2011","PF","ORL","$1,806,629","$0","$2,244,600","0.039","$1,806,629","$1,548,990","4","$6,195,961","$5,758,589","2012","2008","19",""
"","Courtney Lee","2011","SG","HOU","$1,790,928","$0","$2,225,092","0.038","$1,790,928","$1,518,703","4","$6,074,812","$5,640,648","2012","2008","22",""
"","Kosta Koufos","2011","C","DEN","$1,773,784","$0","$2,203,792","0.038","$1,773,784","$1,474,948","4","$5,899,792","$5,415,784","0","2008","18",""
"","Nicolas Batum","2011","SF","POR","$1,734,805","$0","$2,155,364","0.037","$1,734,805","$1,294,610","4","$5,178,439","$5,090,965","2012","2008","19",""
"","Tyler Hansbrough","2011","PF","IND","$1,934,122","$0","$2,138,400","0.037","$1,934,122","$2,262,855","4","$9,051,419","$5,791,882","2013","2009","23",""
"","DeMar DeRozan","2011","SG","TOR","$2,112,805","$0","$2,112,805","0.036","$2,112,805","$2,676,443","4","$10,705,770","$6,849,325","0","2009","19",""
"","Goran Dragic","2011","PG","HOU","$1,696,683","$0","$2,108,000","0.036","$1,696,683","$1,904,000","4","$7,616,000","$7,204,683","2012","2008","21",""
"","George Hill","2011","PG","IND","$1,679,265","$0","$2,086,359","0.036","$1,679,265","$1,332,850","4","$5,331,400","$4,924,305","2012","2008","21",""
