Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,TVS,Age,Weight,Height,Year
Mike Miller,SG,MIA,39,0,752,237,42,14,6,30,128,22,106,91,43.5,53,45.3,2,8.2,31,218,"6'8""",2011
Amir Johnson,PF,TOR,66,0,"1,591",460,79,37,70,95,417,156,261,199,57.2,2,40.0,60,45.96,24,240,"6'9""",2011
Wilson Chandler,SF,DEN,8,0,214,75,17,6,6,18,41,6,35,31,39.2,3,25.0,10,0.0,24,235,"6'8""",2011
John Wall,PG,WAS,67,0,"2,397","1,079",527,95,58,260,296,47,249,376,41.9,3,6.8,324,92.94,21,210,"6'3""",2011
Channing Frye,PF,PHX,64,0,"1,660",664,87,43,70,62,379,70,309,250,41.1,89,34.0,75,64.99,28,255,"7'0""",2011
Derrick Rose,PG,CHI,40,0,"1,389",856,311,34,27,119,135,28,107,300,43.4,54,31.0,202,98.76,23,200,"6'3""",2011
O.J. Mayo,SG,MEM,67,0,"1,788",839,167,70,25,131,214,31,183,303,40.5,101,36.1,132,56.25,24,210,"6'5""",2011
Blake Griffin,PF,LAC,67,0,"2,414","1,394",218,58,47,151,717,213,504,569,55.1,2,13.3,254,99.93,22,250,"6'9""",2011
Kyle Lowry,PG,HOU,48,0,"1,517",679,309,71,14,129,216,39,177,214,41.4,78,37.3,173,91.63,25,196,"6'0""",2011
Tayshaun Prince,SF,DET,63,0,"2,069",799,150,25,32,72,277,72,205,336,42.3,38,36.2,89,31.58,31,212,"0'0""",2011
Mike Conley,PG,MEM,62,0,"2,164",782,400,137,11,125,155,22,133,293,43.1,60,37.7,136,72.89,24,175,"6'1""",2011
J.J. Redick,SG,ORL,67,0,"1,816",781,168,28,6,72,155,18,137,256,42.5,116,42.2,153,27.53,27,200,"6'3""",2011
Metta World Peace,SF,LAL,65,0,"1,740",499,145,72,27,70,215,70,145,184,38.3,57,28.8,74,28.4,32,260,"6'7""",2011
Trevor Ariza,SF,WAS,42,0,"1,379",455,140,73,25,79,216,42,174,173,41.7,29,33.3,80,65.45,26,215,"6'8""",2011
Beno Udrih,PG,MIL,61,0,"1,122",361,233,38,2,79,106,26,80,152,43.4,18,29.0,39,5.14,29,205,"6'3""",2011
Marcus Thornton,SG,SAC,53,0,"1,853",994,104,75,12,86,198,87,111,365,43.9,114,35.5,150,61.89,24,205,"6'4""",2011
Thaddeus Young,PF,PHI,65,0,"1,800",831,77,66,42,57,334,142,192,358,50.8,1,25.0,114,50.39,23,235,"6'8""",2011
Marvin Williams,PF,ATL,59,0,"1,537",594,72,48,19,40,302,79,223,209,43.3,59,38.8,117,34.73,25,237,"6'8""",2011
Raymond Felton,PG,POR,62,0,"1,958",710,398,82,11,177,155,29,126,269,40.8,65,31.1,107,31.85,27,205,"6'1""",2011
Leandro Barbosa,SG,TOR,65,0,"1,401",713,98,58,7,98,129,33,96,273,42.4,66,37.9,101,10.78,29,194,"6'3""",2011
Arron Afflalo,SG,DEN,62,0,"2,078",940,149,34,13,87,198,40,158,327,46.8,87,39.4,199,47.26,26,210,"6'5""",2011
Andre Miller,PG,DEN,67,0,"1,835",640,456,68,9,175,231,54,177,244,43.3,18,20.9,134,37.02,35,200,"6'3""",2011
Caron Butler,SF,LAC,64,0,"1,891",760,81,52,8,76,228,44,184,289,40.4,95,36.4,87,14.67,31,228,"6'7""",2011
Kirk Hinrich,SG,ATL,48,0,"1,236",316,132,38,11,58,101,11,90,122,41.4,47,34.6,25,2.13,31,190,"6'4""",2011
Paul Millsap,PF,UTA,62,0,"2,049","1,044",147,117,52,105,549,174,375,418,49.7,7,22.6,201,99.39,26,257,"6'7""",2011
Rodney Stuckey,PG,DET,55,0,"1,631",795,212,41,10,108,140,38,102,250,42.7,31,31.0,264,28.65,25,205,"6'5""",2011
Mo Williams,PG,LAC,53,0,"1,493",706,164,49,7,87,100,25,75,267,42.8,94,38.7,78,16.73,29,198,"6'1""",2011
Luis Scola,PF,HOU,67,0,"2,068","1,037",140,36,24,152,422,123,299,444,49.2,0,0.0,149,36.22,31,241,"6'9""",2011
Jameer Nelson,PG,ORL,59,0,"1,759",691,342,38,6,138,186,30,156,263,42.0,87,36.1,78,35.58,29,190,"6'0""",2011
Andrea Bargnani,C,TOR,33,0,"1,095",639,64,18,17,75,185,29,156,220,42.7,36,29.5,163,33.39,26,245,"7'0""",2011
Richard Jefferson,SF,SAS,64,0,"1,745",572,90,37,19,49,220,27,193,202,41.4,111,41.4,57,10.38,31,233,"0'0""",2011
Devin Harris,PG,UTA,64,0,"1,744",717,313,66,13,128,115,12,103,244,44.8,76,35.8,153,23.58,28,185,"6'3""",2011
Jose Calderon,PG,TOR,55,0,"1,846",568,476,50,3,108,163,20,143,222,45.2,61,36.7,63,37.35,30,200,"0'0""",2011
David West,PF,IND,65,0,"1,889",828,139,53,46,93,419,115,304,344,49.5,2,22.2,138,53.23,31,250,"6'9""",2011
Rajon Rondo,PG,BOS,55,0,"2,007",652,634,101,3,199,262,62,200,264,44.7,10,23.8,114,68.85,25,180,"6'1""",2011
Monta Ellis,SG,GSW,57,0,"2,063","1,114",344,81,17,175,192,18,174,425,42.8,56,29.9,208,47.72,26,185,"6'3""",2011
Jason Terry,SG,DAL,63,0,"1,979",937,222,75,11,126,148,17,131,349,42.9,137,38.1,102,31.74,34,185,"6'2""",2011
Kevin Martin,SG,HOU,41,0,"1,257",664,109,27,2,68,105,12,93,217,40.7,75,33.9,155,13.86,28,199,"6'7""",2011
Ben Gordon,SG,DET,52,0,"1,402",656,126,33,9,114,124,15,109,237,43.9,64,41.8,118,3.84,28,205,"0'0""",2011
David Lee,PF,GSW,56,0,"2,074","1,142",160,57,23,146,529,165,364,459,50.8,0,0.0,224,71.15,28,245,"6'9""",2011
Al Horford,C,ATL,13,0,389,153,27,11,17,20,84,29,55,65,54.6,0,0.0,23,0.0,25,240,"6'9""",2011
Andrew Bogut,C,MIL,14,0,413,152,34,12,24,28,111,24,87,67,44.4,0,0.0,18,0.0,27,260,"0'0""",2011
Danny Granger,SF,IND,63,0,"2,086","1,147",108,62,43,113,305,78,227,391,41.2,122,37.9,243,55.04,28,222,"6'9""",2011
Rudy Gay,SF,MEM,66,0,"2,437","1,249",151,96,59,164,417,129,288,490,45.6,56,31.6,213,46.46,25,250,"6'8""",2011
