"name","yearSeason","agePlayer","position","team","countGames","pctFG","pctFG3","pctFG2","pctEFG","pctFT","idPlayerNBA","minutesPerGame","fgmPerGame","fgaPerGame","fg3mPerGame","fg3aPerGame","fg2mPerGame","fg2aPerGame","ftmPerGame","ftaPerGame","orbPerGame","drbPerGame","trbPerGame","astPerGame","stlPerGame","blkPerGame","tovPerGame","pfPerGame","ptsPerGame","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals"
"Stephen Graham",2011,28,"SG","NJN",59,0.405,0.238,0.425,0.418,0.816,101211,16.3,1.4,3.4,0.1,0.4,1.3,3,0.5,0.6,0.3,1.8,2.1,0.7,0.2,0,0.6,1.8,3.4,959,4.4,0.457,0.105,0.19,0.02,0.134,0.076,0.065,0.8,0.1,0.149,0.123,-0.7,0.4,-0.3,-0.014,-5.8,-1,-6.8,-1.2,959,81,200,5,21,76,179,31,38,17,106,123,40,14,1,38,106,198
"Danny Green",2011,23,"SG","SAS",8,0.486,0.368,0.625,0.586,0,201980,11.5,2.1,4.4,0.9,2.4,1.3,2,0,0,0.4,1.5,1.9,0.3,0.3,0.1,0.6,0.9,5.1,92,13.2,0.586,0.543,0,0.039,0.148,0.095,0.036,0.011,0.8,0.125,0.2,0,0.1,0.1,0.076,0.1,-0.7,-0.6,0,92,17,35,7,19,10,16,0,0,3,12,15,2,2,1,5,7,41
"Willie Green",2011,29,"SG","NOH",77,0.443,0.348,0.476,0.488,0.78,2584,21.7,3.5,7.9,0.7,2,2.8,5.9,1,1.3,0.3,1.8,2.1,1,0.5,0.2,0.9,1.9,8.7,1674,10.8,0.515,0.255,0.164,0.016,0.102,0.059,0.076,0.012,0.6,0.093,0.205,0.3,1.5,1.8,0.052,-2.1,-0.7,-2.8,-0.3,1674,270,609,54,155,216,454,78,100,22,139,161,74,36,13,67,143,672
"Orien Greene",2011,28,"SG","NJN",3,0.5,0,0.5,0.5,0.5,101158,1.7,0.3,0.7,0,0,0.3,0.7,0.3,0.7,0,0,0,0.3,0.3,0,0,0,1,5,33,0.521,0,0.01,0,0,0,0.378,0.107,0,0,0.267,0,0,0,0.293,6,9.1,15.1,0,5,1,2,0,0,1,2,1,2,0,0,0,1,1,0,0,0,3
"Richard Hamilton",2011,32,"SG","DET",55,0.429,0.382,0.442,0.47,0.849,1888,27.2,5.2,12.2,1,2.6,4.2,9.6,2.7,3.1,0.4,1.9,2.3,3.1,0.7,0.1,1.6,1.7,14.1,1498,15.8,0.52,0.215,0.256,0.019,0.087,0.051,0.198,0.014,0.2,0.105,0.26,1.6,0.2,1.8,0.059,0.6,-2.2,-1.6,0.1,1498,288,671,55,144,233,527,146,172,24,102,126,171,39,4,88,95,777
"James Harden",2011,21,"SG","OKC",82,0.436,0.349,0.514,0.518,0.843,201935,26.7,3.6,8.3,1.4,4,2.3,4.4,3.5,4.2,0.5,2.6,3.1,2.1,1.1,0.3,1.3,2.5,12.2,2189,16.4,0.598,0.474,0.501,0.023,0.11,0.068,0.128,0.022,0.8,0.113,0.195,5,2.1,7.1,0.156,1.3,0.6,1.9,2.2,2189,298,684,113,324,185,360,289,343,42,213,255,176,92,24,106,207,998
"Manny Harris",2011,21,"SG","CLE",54,0.374,0.37,0.376,0.433,0.763,202412,17.3,2,5.4,0.6,1.7,1.4,3.6,1.3,1.7,0.7,1.9,2.6,1.6,0.6,0.1,1.2,1.2,5.9,933,10.4,0.486,0.318,0.322,0.043,0.132,0.086,0.148,0.017,0.6,0.16,0.191,-0.4,0.4,0,0.002,-2.3,-1.2,-3.5,-0.4,933,108,289,34,92,74,197,71,93,36,104,140,85,31,7,63,65,321
"Gerald Henderson",2011,23,"SG","CHA",68,0.454,0.194,0.472,0.461,0.785,201945,24.4,3.8,8.4,0.1,0.5,3.7,7.9,1.9,2.4,0.7,2.3,3,1.5,0.7,0.5,0.9,1.7,9.6,1661,13.2,0.509,0.063,0.286,0.035,0.116,0.075,0.107,0.016,0.016,0.091,0.199,0.9,1.4,2.4,0.068,-1.6,-0.2,-1.8,0.1,1661,259,570,7,36,252,534,128,163,49,158,207,101,50,32,64,118,653
"Xavier Henry",2011,19,"SG","MEM",38,0.406,0.118,0.441,0.413,0.635,202333,13.9,1.7,4.2,0.1,0.4,1.7,3.8,0.9,1.4,0.2,0.7,1,0.5,0.3,0.1,0.3,1.3,4.3,527,7,0.451,0.106,0.325,0.02,0.064,0.042,0.05,0.011,0.5,0.066,0.168,-0.1,0.3,0.2,0.021,-4.5,-0.8,-5.3,-0.4,527,65,160,2,17,63,143,33,52,9,28,37,18,11,3,13,48,165
"Eddie House",2011,32,"SG","MIA",56,0.399,0.389,0.411,0.505,0.95,2067,17.5,2.3,5.7,1.2,3.1,1.1,2.6,0.7,0.7,0.2,1.5,1.6,1.1,0.6,0.1,0.5,1.2,6.5,978,11.9,0.535,0.545,0.125,0.012,0.095,0.056,0.1,0.017,0.2,0.079,0.176,1,1.2,2.2,0.108,-0.5,0.2,-0.3,0.4,978,128,321,68,175,60,146,38,40,9,83,92,62,32,3,29,68,362
