"name","yearSeason","agePlayer","position","team","countGames","pctFG","pctFG3","pctFG2","pctEFG","pctFT","idPlayerNBA","minutesPerGame","fgmPerGame","fgaPerGame","fg3mPerGame","fg3aPerGame","fg2mPerGame","fg2aPerGame","ftmPerGame","ftaPerGame","orbPerGame","drbPerGame","trbPerGame","astPerGame","stlPerGame","blkPerGame","tovPerGame","pfPerGame","ptsPerGame","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals"
"Pau Gasol",2011,30,"C","LAL",82,0.529,0.333,0.53,0.53,0.823,2200,37,7.2,13.7,0,0,7.2,13.6,4.3,5.2,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5,18.8,3037,23.3,0.589,0.003,0.384,0.103,0.205,0.156,0.151,0.8,0.033,0.098,0.218,10,4.7,14.7,0.232,3.9,0.9,4.8,5.2,3037,593,1120,1,3,592,1117,354,430,268,568,836,273,48,130,142,203,1541
"Aaron Gray",2011,26,"C","NOH",41,0.566,0,0.566,0.566,0.5,201189,13,1.4,2.4,0,0,1.4,2.4,0.4,0.8,1.4,2.7,4.2,0.4,0.3,0.3,0.8,2.3,3.1,531,11,0.566,0,0.343,0.134,0.258,0.196,0.047,0.011,0.019,0.219,0.131,0.3,0.8,1.1,0.1,-3.9,-0.2,-4,-0.3,531,56,99,0,0,56,99,17,34,59,112,171,16,11,12,32,96,129
"Hamed Haddadi",2011,25,"C","MEM",31,0.517,0,0.526,0.517,0.652,201632,5.4,1,1.9,0,0,1,1.8,0.5,0.7,0.8,1.4,2.2,0.2,0.1,0.4,0.4,0.9,2.4,168,19.7,0.55,0.017,0.397,0.169,0.316,0.242,0.048,0.6,0.063,0.139,0.212,0.3,0.3,0.6,0.164,-1.1,0,-1.1,0,168,30,58,0,1,30,57,15,23,24,44,68,5,2,13,11,29,75
"Spencer Hawes",2011,22,"C","PHI",81,0.465,0.243,0.48,0.473,0.534,201150,21.2,3.3,7,0.1,0.5,3.1,6.6,0.6,1.1,1.6,4.1,5.7,1.5,0.4,0.9,1.2,2.5,7.2,1718,12.8,0.481,0.065,0.155,0.087,0.225,0.156,0.112,0.9,0.031,0.138,0.189,-0.3,2.6,2.4,0.066,-2.5,0.7,-1.9,0,1718,264,568,9,37,255,531,47,88,129,336,465,121,29,71,97,201,584
"Chuck Hayes",2011,27,"C","HOU",74,0.527,0,0.529,0.527,0.662,101236,28.1,3.3,6.3,0,0,3.3,6.2,1.3,1.9,3,5.1,8.1,2.7,1.1,0.7,1.2,2.7,7.9,2079,16.2,0.554,0.004,0.307,0.119,0.207,0.163,0.143,0.019,0.016,0.141,0.13,3.9,2.4,6.3,0.146,0.6,1.3,1.9,2.1,2079,244,463,0,2,244,461,94,142,219,380,599,202,79,49,86,200,582
"Brendan Haywood",2011,31,"C","DAL",72,0.574,0,0.577,0.574,0.362,2217,18.5,1.8,3.1,0,0,1.8,3.1,0.9,2.5,1.8,3.4,5.2,0.3,0.2,1,0.7,2,4.4,1331,11.7,0.532,0.004,0.794,0.118,0.209,0.165,0.021,0.6,0.042,0.145,0.124,0.8,2.1,2.9,0.104,-2.5,0.6,-1.9,0,1331,128,223,0,1,128,222,64,177,129,247,376,19,16,74,51,146,320
"Roy Hibbert",2011,24,"C","IND",81,0.461,0,0.463,0.461,0.745,201579,27.7,5.1,11,0,0,5.1,10.9,2.5,3.4,2.2,5.3,7.5,2,0.4,1.8,2.3,3.2,12.7,2244,15.9,0.507,0.004,0.309,0.091,0.21,0.151,0.128,0.7,0.046,0.155,0.236,0.3,3.3,3.6,0.077,-1.8,0.7,-1.1,0.5,2244,410,890,0,4,410,886,205,275,182,428,610,166,33,142,185,256,1025
"JJ Hickson",2011,22,"C","CLE",80,0.458,0,0.461,0.458,0.673,201581,28.2,5.4,11.7,0,0.1,5.4,11.6,3.1,4.6,2.7,6,8.7,1.1,0.6,0.7,2.2,2.7,13.8,2256,15.6,0.503,0.005,0.392,0.108,0.25,0.177,0.075,0.011,0.018,0.136,0.255,-0.2,1.7,1.5,0.032,-1.8,-2.1,-3.8,-1.1,2256,429,936,0,5,429,931,247,367,217,478,695,91,48,54,173,215,1105
"Nene",2011,28,"C","DEN",75,0.615,0.2,0.618,0.615,0.711,2403,30.5,5.4,8.7,0,0.1,5.3,8.7,3.8,5.4,1.9,5.7,7.6,2,1.1,1,1.8,3.2,14.5,2291,20.4,0.657,0.008,0.615,0.075,0.208,0.144,0.104,0.018,0.024,0.139,0.188,6.4,3.1,9.6,0.201,2.1,1.5,3.6,3.2,2291,402,654,1,5,401,649,286,402,145,426,571,149,84,73,134,238,1091
"Jordan Hill",2011,23,"C","HOU",72,0.491,0,0.494,0.491,0.706,201941,15.6,2.4,4.9,0,0,2.4,4.9,0.8,1.2,1.8,2.5,4.3,0.4,0.2,0.7,0.9,2.2,5.6,1125,13.1,0.521,0.006,0.241,0.129,0.18,0.154,0.04,0.6,0.032,0.137,0.177,0.8,1,1.8,0.079,-2.9,-1.4,-4.3,-0.7,1125,173,352,0,2,173,350,60,85,128,178,306,29,14,52,62,157,406
"Ryan Hollins",2011,26,"C","CLE",70,0.598,0,0.598,0.598,0.681,200797,16.9,1.9,3.1,0,0,1.9,3.1,1.6,2.3,1,1.7,2.7,0.4,0.3,0.6,1,2.8,5.3,1182,10.7,0.642,0,0.744,0.066,0.116,0.09,0.036,0.01,0.027,0.187,0.137,1.3,0.5,1.8,0.072,-4,-0.3,-4.3,-0.7,1182,131,219,0,0,131,219,111,163,70,116,186,26,22,42,67,199,373
